Firma,Bundesland,PLZ,Ort,Straße
Solemed RSV e.V.,Sachsen,4703,Leisnig,Chemnitzer Str. 18
Soma Fitness UG und Co.KG,Nordrhein-Westfalen,33334,Gütersloh,Dieselstraße 41
Sport & Office CKI GmbH,Nordrhein-Westfalen,53119,Bonn,Lievelingsweg 102
Sport Club Siemensstadt Berlin e.V.,Berlin,13629,Berlin,Buolstraße 14
Sport Lounge Munte GmbH,Bremen,28213,Bremen,Zur Munte 23-25
Sport PLUS Reha Westerwald e.V.,Rheinland-Pfalz,56237,Nauort,Alter Garten 1
Sport- und Gesundheitszentrum Altenessen e.V.,Nordrhein-Westfalen,45326,Essen,Altenessenerstr. 393
Sport- und Leistungszentrum Thüringen,Thüringen,98693,Ilmenau,"Am Vogelherd 10, Tor 6"
Sportgemeinschaft Kaarst 1912/35 e.V.,Nordrhein-Westfalen,41564,Kaarst,Pestalozzistr.3a
Sporthaus e.V.,Nordrhein-Westfalen,45130,Essen,Witteringstr. 18
Sporting Leipzig Altenburg e.V.,Sachsen,4289,Leipzig,Mattheuerbogen 6
Sportpark am See Fitness-Center GmbH,Nordrhein-Westfalen,51674,Wiehl,Am Hans-Teich 18
Sport-REHA GmbH Berlin,Berlin,12681,Berlin,Alte Rhinstraße 16
Sports For Good Frederik Göllner,Niedersachsen,31582,Nienburg,Hannoversche Str. 32
sports-and-community GmbH,Rheinland-Pfalz,56112,Lahnstein,Hermsdorfer Str. 3a
Sportschule TAO,Niedersachsen,26607,Aurich,Hoher Berg 19
Sportstudio Nippon,Berlin,12167,Berlin,Mittelstr. 34
Sportstudio Westend GbR,Sachsen,8523,Plauen,L.-F.-Schönherr-Str. 32
Sporttherapie Flach,Sachsen,4720,Döbeln,Pappelweg 6
Spürbar Gesundheitstraining,Nordrhein-Westfalen,44388,Dortmund,Volksgartenstr. 11
St. Josefs-Hospital Cloppenburg gGmbH,Niedersachsen,49661,Cloppenburg,Krankenhausstraße 13
Städtisches Krankenhaus Heinsberg GmbH,Nordrhein-Westfalen,52525,Heinsberg,Auf dem Brand 1
STRAIGHT Fitness GmbH,Thüringen,99310,Arnstadt,A.-Paul-Weber-Straße 3
SV Chattia1921 Ulrichstein,Hessen,35327,Ulrichstein,Brauwiesenstraße 2
SV Germania Hauenhorst 1930 e.V.,Nordrhein-Westfalen,48432,Rheine,Hessenweg 1
SyRa-fit,Brandenburg,14641,Nauen,Karl-Thon-Str. 48
T&T Fitness- & Gesundheitsstudio,Mecklenburg-Vorpommern,18273,Güstrow,Neukruger Str. 63
tabbs vital GmbH,Thüringen,99891,Bad Tabarz,Schwimmbadweg 10
Taikosports Gesundheits- & Reha Sportpark Tolksdorf,Nordrhein-Westfalen,46045,Oberhausen,Mülheimerstr. 128
Tanzsportclub Castell-Lippstadt e. V,Nordrhein-Westfalen,59555,Lippstadt,AmTiergarten 13
Team Enge - Reha-und Gesundheitssport vor Ort,Nordrhein-Westfalen,48429,Rheine,Gustav-Heinemann Str. 53
Temple Gym Lars und Marc Fischbach GbR,Nordrhein-Westfalen,48703,Stadtlohn,Südlohner Weg 36
Thbd. Wiesenbad Gesellschaft für Kur und Rehabilitation mbH,Sachsen,9488,Thermalbad Wiesenbad,Freiberger Straße 33
Therafit Katholisches Krankenhaus Dortmund West,Nordrhein-Westfalen,44379,Dortmund,Zollernstr. 40
TheraMedic Physiotherapiezentrum GbR,Sachsen,9126,Chemnitz,Zschopauer Straße 105
Therapie & Fitnesszentrum Klöckner KG,Baden-Württemberg,79183,Waldkirch,Schusterstr. 4-8
Therapie mit Konzept Thorsten Marr,Nordrhein-Westfalen,58239,Schwerte,Bergstraße 7
Therapie- und Bewegungszentrum Optenberg und Heckmann GbR,Bayern,88161,Lindenberg,Hauptstraße 17
Therapie- und Präventionszentrum Christin Geißler-Schmidt,Sachsen,1307,Dresden,Comeniusstr. 32
Therapie und Präventionszentrum Ibbenbüren,Nordrhein-Westfalen,49477,Ibbenbüren,Rheiner Straße 8
Therapie- und Rehazentrum Bottwartal GmbH,Baden-Württemberg,71723,Großbottwar,Heilbronner Str. 39/41
Therapie- und Rehazentrum Hameln GmbH,Niedersachsen,31785,Hameln,Elsa-Buchwitz-Straße 2
Therapie und Sport Barssel,Niedersachsen,26676,Barssel,Westmarkstr. 2
Therapie- und Trainingszentrum Engel,Rheinland-Pfalz,54516,Wittlich,Römerstr. 37
Therapiebad im Holthues Hoff ug,Nordrhein-Westfalen,48683,Ahaus,Fuistingstrasse 37
TherapieCenter-Marl GbR,Nordrhein-Westfalen,45772,Marl,Victoriastr. 59
Therapiehaus Vulkaneifel,Rheinland-Pfalz,53539,Kelberg,Dauner Straße 17
Therapiezemtrum für dütt un dat,Niedersachsen,27305,Bruchhausen-Vilsen,Graf-Ludolf-Str. 5-7
Therapiezentrum AKH Ambulant gGmbH,Niedersachsen,29223,Celle,Siemensplatz 4
Therapiezentrum am Bült GmbH,Nordrhein-Westfalen,48143,Münster,Bült 13
Therapiezentrum Düsseldorf Döpfer GmbH,Nordrhein-Westfalen,40229,Düsseldorf,Gumbertstraße 180-182
Therapiezentrum Gevelsberg,Nordrhein-Westfalen,58285,Gevelsberg,Mühlenstr. 25
Therapie-Zentrum Grünstadt e.K.,Rheinland-Pfalz,67269,Grünstadt,Lise-Meitner-Straße 2
Therapiezentrum MediCor,Niedersachsen,49324,Melle,Riemsloher Str. 5
Therapiezentrum Schmidt -In Balance -,Rheinland-Pfalz,55606,Kirn,Sulzbacher Straße 67a
Therapiezentrum Thierbach Standort Königs Wusterhausen,Brandenburg,15711,Königs Wusterhausen,Heinrich-Heine-Str. 58
Therapiezentrum Versmold,Nordrhein-Westfalen,33775,Versmold,Knetterhauser Str. 27
TherapieZentrum Wedel Gabriele Wilde,Schleswig-Holstein,22880,Wedel,Rosengarten 5-9
Therapiezentrum Wirtz,Nordrhein-Westfalen,52146,Würselen,Sebastianusstr. 27
TheraVio Kidz,Niedersachsen,31789,Hameln,Barchusen 1
Torben Piwarz,Niedersachsen,30519,Hannover,Eichelkampstraße 57
Tripada Akademie für Gesundheit und Yoga,Nordrhein-Westfalen,42103,Wuppertal,Hofaue 63
TSV Hochdahl 64 e.V.,Nordrhein-Westfalen,40699,Erkrath,Sedentaler Str. 107a
Turnverein Ibbenbüren 1860 e.V.,Nordrhein-Westfalen,49479,Ibbenbüren,Wilhelmstraße 263
TUS Norderney e.V.,Niedersachsen,26548,Norderney,An der Mühle 15
UnixX Sports GmbH,Rheinland-Pfalz,55232,Alzey,Justus-von-Liebigstr. 13
Upgreat Physiologisches Fitnesstraining,Saarland,66121,Saarbrücken,Schneidershof 1
Vamed Klinik Bad Ems GmbH,Rheinland-Pfalz,56130,Bad Ems,Viktoriaallee 27
Verein für Rehasport und Gesundheitstraining Jena e.V.,Thüringen,7743,Jena,Johann-Friedrich-Str. 26
Vesalius THZ GbR,Baden-Württemberg,73240,Wendlingen,Wertstr.8
VfRG e.V.,Nordrhein-Westfalen,46047,Oberhausen,Im Lipperfeld 40
VGR Münster e.V.,Nordrhein-Westfalen,48159,Münster,Grevener Straße 182
via vital,Baden-Württemberg,68723,Schwetzingen,Südtangente 3
VIALIFE ARZ Aachen,Nordrhein-Westfalen,52066,Aachen,Benediktiner Str. 23
vialife Prävention GmbH,Nordrhein-Westfalen,52066,Aachen,Benediktinerstr.23
View24,Hessen,36304,Alsfeld,Hersfelderstraße 77
Visalis Therapiezentrum,Nordrhein-Westfalen,46485,Wesel,Schermbecker Landstraße 88
Visiolife Group GmbH,Nordrhein-Westfalen,53227,Bonn,Rheinwerkallee 3
Vita activa Gesundheitssport & Reha e.V.,Nordrhein-Westfalen,58239,Schwerte,Labuissierestraße 33
Vita Reha GmbH,Nordrhein-Westfalen,44534,Lünen,Merschstraße 20-22
Vita Reha in Hamm GmbH,Nordrhein-Westfalen,59071,Hamm,Alter Uentroper Weg 53
"Vita Reha, Reha- und Gesundheitssport Steinfurt e.V.",Nordrhein-Westfalen,48565,Steinfurt,Gerichtstraße 3a
Vitakonzept GmbH,Nordrhein-Westfalen,58452,Witten,Bahnhofstraße 73
Vital am Schweriner See UG,Mecklenburg-Vorpommern,19065,Raben Steinfeld,Residence Park 5-7
Vital GmbH,Niedersachsen,26125,Oldenburg,Felix-Wankel-Str. 1
Vitalien Fitness & Wellness GmbH,Schleswig-Holstein,24837,Schleswig,Stadtfeld 2
Vitalis AktivGesund,Nordrhein-Westfalen,33649,Bielefeld,Linzer Straße 6 A
Vitalis Gesundheitszentrum,Baden-Württemberg,74613,Öhringen,Altstadt 34
Vitalpark Solms,Hessen,35606,Burgsolms,Solmser Gewerbepark 8
Vitasport,Niedersachsen,38723,Seesen,Bornhäuser Straße 2
Volkssolidarität Elbtalkreis Meissen e.V.,Sachsen,1445,Radebeul,Serkowitzer Str.31
Vollfitness Unlimited Pankow GmbH,Berlin,13189,Berlin,Neumannstr. 13
VSG Menden e.V.,Nordrhein-Westfalen,58706,Menden,Landwehr 38a
Wellness-Garden GmbH,Nordrhein-Westfalen,47178,Duisburg,Kaiserstr. 312a
wellvita Ahaus,Nordrhein-Westfalen,48683,Ahaus,Am Aabach 28
Wesertalpraxis Rumbeck,Niedersachsen,31840,Hessisch Oldendorf,Westerholtreede 6
Wins.fit GmbH,Mecklenburg-Vorpommern,19063,Schwerin,Am Hang 32
Wittenberge Bäder GmbH,Brandenburg,19322,Wittenberge,An der Schwimmhalle 5b
Womensport Arabesque,Baden-Württemberg,73312,Geislingen,Römerstraße 7
Xtra Fit-Line GmbH,Nordrhein-Westfalen,33378,Rheda-Wiedenbrück,Pilgerpatt 5
Yoga-Oase-Blum,Hessen,36100,Petersberg,Am Tannenküppel 1
Yogaschule Susann Vogel,Baden-Württemberg,71083,Herrenberg,Mozartstr. 10
ZAR Kaiserslautern GmbH,Rheinland-Pfalz,67657,Kaiserslautern,Europaallee 1
Zentrum für Gesundheitsförderung am Marienhospital Aachen,Nordrhein-Westfalen,52066,Aachen,Zeise 4
Zentrum für Physiotherapie GmbH,Nordrhein-Westfalen,33609,Bielefeld,Eckendorfer Str. 91-93
Zentrum für Physiotherapie und Prävention Matthias Lehneis,Hessen,63322,Rödermark,Dieburger Straße 135
ZWANZIG-NEUN-FÜNF GmbH,Nordrhein-Westfalen,45127,Essen,Am Handelshof 1
ZWANZIG-NEUN-FÜNF Mülheim GmbH,Nordrhein-Westfalen,45468,Mülheim an der Ruhr,Schloßstr. 22
